"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"4","abeo1",16,1,0.0625,0,0,0,0,1,0.0625,12,0.75,2,0.125
"31","accedo1",10,1,0.1,1,0.1,1,0.1,0,0,5,0.5,2,0.2
"36","accipio",18,3,0.166666666666667,1,0.0555555555555556,2,0.111111111111111,1,0.0555555555555556,7,0.388888888888889,4,0.222222222222222
"37","accipio1",45,7,0.155555555555556,1,0.0222222222222222,6,0.133333333333333,1,0.0222222222222222,23,0.511111111111111,7,0.155555555555556
"53","adeo1",12,1,0.0833333333333333,0,0,0,0,0,0,8,0.666666666666667,3,0.25
"82","adoro1",24,3,0.125,0,0,2,0.0833333333333333,1,0.0416666666666667,1,0.0416666666666667,17,0.708333333333333
"107","affero1",16,2,0.125,0,0,1,0.0625,0,0,8,0.5,5,0.3125
"125","ago",22,4,0.181818181818182,0,0,6,0.272727272727273,0,0,9,0.409090909090909,3,0.136363636363636
"126","ago1",42,7,0.166666666666667,2,0.0476190476190476,9,0.214285714285714,2,0.0476190476190476,14,0.333333333333333,8,0.19047619047619
"127","aio",13,0,0,0,0,0,0,0,0,13,1,0,0
"128","aio1",27,0,0,0,0,0,0,0,0,21,0.777777777777778,6,0.222222222222222
"146","amo1",13,2,0.153846153846154,0,0,1,0.0769230769230769,0,0,10,0.769230769230769,0,0
"157","aperio1",23,2,0.0869565217391304,0,0,0,0,1,0.0434782608695652,19,0.826086956521739,1,0.0434782608695652
"163","appello1",11,1,0.0909090909090909,0,0,0,0,0,0,9,0.818181818181818,1,0.0909090909090909
"185","ascendo1",10,0,0,0,0,2,0.2,1,0.1,5,0.5,2,0.2
"216","audio1",57,33,0.578947368421053,1,0.0175438596491228,2,0.0350877192982456,3,0.0526315789473684,16,0.280701754385965,2,0.0350877192982456
"230","cado1",30,3,0.1,0,0,1,0.0333333333333333,1,0.0333333333333333,10,0.333333333333333,15,0.5
"235","cano1",14,0,0,0,0,2,0.142857142857143,0,0,10,0.714285714285714,2,0.142857142857143
"240","capio1",22,1,0.0454545454545455,0,0,1,0.0454545454545455,1,0.0454545454545455,12,0.545454545454545,7,0.318181818181818
"250","cedo1",13,2,0.153846153846154,1,0.0769230769230769,2,0.153846153846154,0,0,2,0.153846153846154,6,0.461538461538462
"255","censeo1",12,4,0.333333333333333,0,0,0,0,0,0,7,0.583333333333333,1,0.0833333333333333
"256","cerno1",17,1,0.0588235294117647,0,0,3,0.176470588235294,0,0,10,0.588235294117647,3,0.176470588235294
"272","clamo1",18,1,0.0555555555555556,1,0.0555555555555556,1,0.0555555555555556,0,0,10,0.555555555555556,5,0.277777777777778
